20	colors
#080A0D #003776 #674B47 #6F4C2F #E72F1D #6C5BB1 #2D9E59 #F24574 #8C9099 #F97429 #5EBDDB #C19E86 #AFC33C #94B7C9 #F4C032 #FFC0CB #D9DFE5 #F8F81C #FFF5E0 #E2DEDB
src dst flush
#080A0D #003776 116
#080A0D #674B47 115
#080A0D #6F4C2F 125
#080A0D #E72F1D 148
#080A0D #6C5BB1 152
#080A0D #2D9E59 149
#080A0D #F24574 170
#080A0D #8C9099 206
#080A0D #F97429 208
#080A0D #5EBDDB 153
#080A0D #C19E86 232
#080A0D #AFC33C 235
#080A0D #94B7C9 241
#080A0D #F4C032 256
#080A0D #FFC0CB 233
#080A0D #D9DFE5 258
#080A0D #F8F81C 236
#080A0D #FFF5E0 332
#080A0D #E2DEDB 381
#003776 #080A0D 95
#003776 #674B47 122
#003776 #6F4C2F 144
#003776 #E72F1D 152
#003776 #6C5BB1 139
#003776 #2D9E59 121
#003776 #F24574 160
#003776 #8C9099 297
#003776 #F97429 187
#003776 #5EBDDB 138
#003776 #C19E86 225
#003776 #AFC33C 226
#003776 #94B7C9 230
#003776 #F4C032 258
#003776 #FFC0CB 172
#003776 #D9DFE5 260
#003776 #F8F81C 214
#003776 #FFF5E0 281
#003776 #E2DEDB 356
#674B47 #080A0D 108
#674B47 #003776 93
#674B47 #6F4C2F 67
#674B47 #E72F1D 98
#674B47 #6C5BB1 141
#674B47 #2D9E59 135
#674B47 #F24574 123
#674B47 #8C9099 214
#674B47 #F97429 112
#674B47 #5EBDDB 166
#674B47 #C19E86 138
#674B47 #AFC33C 148
#674B47 #94B7C9 181
#674B47 #F4C032 160
#674B47 #FFC0CB 162
#674B47 #D9DFE5 263
#674B47 #F8F81C 185
#674B47 #FFF5E0 262
#674B47 #E2DEDB 333
#6F4C2F #080A0D 94
#6F4C2F #003776 92
#6F4C2F #674B47 68
#6F4C2F #E72F1D 98
#6F4C2F #6C5BB1 162
#6F4C2F #2D9E59 123
#6F4C2F #F24574 135
#6F4C2F #8C9099 223
#6F4C2F #F97429 119
#6F4C2F #5EBDDB 181
#6F4C2F #C19E86 160
#6F4C2F #AFC33C 167
#6F4C2F #94B7C9 215
#6F4C2F #F4C032 160
#6F4C2F #FFC0CB 165
#6F4C2F #D9DFE5 257
#6F4C2F #F8F81C 173
#6F4C2F #FFF5E0 216
#6F4C2F #E2DEDB 412
#E72F1D #080A0D 207
#E72F1D #003776 203
#E72F1D #674B47 190
#E72F1D #6F4C2F 198
#E72F1D #6C5BB1 289
#E72F1D #2D9E59 307
#E72F1D #F24574 181
#E72F1D #8C9099 401
#E72F1D #F97429 227
#E72F1D #5EBDDB 270
#E72F1D #C19E86 290
#E72F1D #AFC33C 291
#E72F1D #94B7C9 307
#E72F1D #F4C032 322
#E72F1D #FFC0CB 282
#E72F1D #D9DFE5 493
#E72F1D #F8F81C 332
#E72F1D #FFF5E0 439
#E72F1D #E2DEDB 676
#6C5BB1 #080A0D 87
#6C5BB1 #003776 80
#6C5BB1 #674B47 90
#6C5BB1 #6F4C2F 110
#6C5BB1 #E72F1D 93
#6C5BB1 #2D9E59 109
#6C5BB1 #F24574 119
#6C5BB1 #8C9099 210
#6C5BB1 #F97429 112
#6C5BB1 #5EBDDB 88
#6C5BB1 #C19E86 128
#6C5BB1 #AFC33C 122
#6C5BB1 #94B7C9 150
#6C5BB1 #F4C032 131
#6C5BB1 #FFC0CB 128
#6C5BB1 #D9DFE5 262
#6C5BB1 #F8F81C 139
#6C5BB1 #FFF5E0 144
#6C5BB1 #E2DEDB 250
#2D9E59 #080A0D 109
#2D9E59 #003776 110
#2D9E59 #674B47 120
#2D9E59 #6F4C2F 123
#2D9E59 #E72F1D 126
#2D9E59 #6C5BB1 115
#2D9E59 #F24574 135
#2D9E59 #8C9099 257
#2D9E59 #F97429 129
#2D9E59 #5EBDDB 128
#2D9E59 #C19E86 166
#2D9E59 #AFC33C 147
#2D9E59 #94B7C9 200
#2D9E59 #F4C032 153
#2D9E59 #FFC0CB 157
#2D9E59 #D9DFE5 256
#2D9E59 #F8F81C 173
#2D9E59 #FFF5E0 187
#2D9E59 #E2DEDB 344
#F24574 #080A0D 106
#F24574 #003776 122
#F24574 #674B47 134
#F24574 #6F4C2F 136
#F24574 #E72F1D 87
#F24574 #6C5BB1 141
#F24574 #2D9E59 145
#F24574 #8C9099 319
#F24574 #F97429 123
#F24574 #5EBDDB 173
#F24574 #C19E86 212
#F24574 #AFC33C 200
#F24574 #94B7C9 240
#F24574 #F4C032 195
#F24574 #FFC0CB 123
#F24574 #D9DFE5 344
#F24574 #F8F81C 202
#F24574 #FFF5E0 259
#F24574 #E2DEDB 399
#8C9099 #080A0D 88
#8C9099 #003776 86
#8C9099 #674B47 94
#8C9099 #6F4C2F 85
#8C9099 #E72F1D 75
#8C9099 #6C5BB1 77
#8C9099 #2D9E59 69
#8C9099 #F24574 81
#8C9099 #F97429 84
#8C9099 #5EBDDB 82
#8C9099 #C19E86 72
#8C9099 #AFC33C 70
#8C9099 #94B7C9 72
#8C9099 #F4C032 69
#8C9099 #FFC0CB 78
#8C9099 #D9DFE5 117
#8C9099 #F8F81C 81
#8C9099 #FFF5E0 104
#8C9099 #E2DEDB 135
#F97429 #080A0D 91
#F97429 #003776 115
#F97429 #674B47 102
#F97429 #6F4C2F 103
#F97429 #E72F1D 91
#F97429 #6C5BB1 137
#F97429 #2D9E59 120
#F97429 #F24574 136
#F97429 #8C9099 243
#F97429 #5EBDDB 180
#F97429 #C19E86 138
#F97429 #AFC33C 169
#F97429 #94B7C9 249
#F97429 #F4C032 155
#F97429 #FFC0CB 169
#F97429 #D9DFE5 356
#F97429 #F8F81C 173
#F97429 #FFF5E0 220
#F97429 #E2DEDB 354
#5EBDDB #080A0D 110
#5EBDDB #003776 90
#5EBDDB #674B47 121
#5EBDDB #6F4C2F 140
#5EBDDB #E72F1D 109
#5EBDDB #6C5BB1 107
#5EBDDB #2D9E59 110
#5EBDDB #F24574 160
#5EBDDB #8C9099 273
#5EBDDB #F97429 177
#5EBDDB #C19E86 222
#5EBDDB #AFC33C 179
#5EBDDB #94B7C9 150
#5EBDDB #F4C032 208
#5EBDDB #FFC0CB 193
#5EBDDB #D9DFE5 264
#5EBDDB #F8F81C 215
