20	colors
#080A0D #003776 #674B47 #6F4C2F #E72F1D #6C5BB1 #2D9E59 #F24574 #8C9099 #F97429 #5EBDDB #C19E86 #AFC33C #94B7C9 #F4C032 #FFC0CB #D9DFE5 #F8F81C #FFF5E0 #E2DEDB
src dst flush
#080A0D #003776 76
#080A0D #674B47 58
#080A0D #6F4C2F 54
#080A0D #E72F1D 57
#080A0D #6C5BB1 80
#080A0D #2D9E59 73
#080A0D #F24574 60
#080A0D #8C9099 66
#080A0D #F97429 77
#080A0D #5EBDDB 58
#080A0D #C19E86 69
#080A0D #AFC33C 88
#080A0D #94B7C9 53
#080A0D #F4C032 100
#080A0D #FFC0CB 103
#080A0D #D9DFE5 180
#080A0D #F8F81C 91
#080A0D #FFF5E0 140
#080A0D #E2DEDB 190
#003776 #080A0D 31
#003776 #674B47 53
#003776 #6F4C2F 47
#003776 #E72F1D 64
#003776 #6C5BB1 55
#003776 #2D9E59 51
#003776 #F24574 52
#003776 #8C9099 103
#003776 #F97429 87
#003776 #5EBDDB 49
#003776 #C19E86 84
#003776 #AFC33C 85
#003776 #94B7C9 85
#003776 #F4C032 79
#003776 #FFC0CB 77
#003776 #D9DFE5 195
#003776 #F8F81C 117
#003776 #FFF5E0 166
#003776 #E2DEDB 268
#674B47 #080A0D 37
#674B47 #003776 52
#674B47 #6F4C2F 24
#674B47 #E72F1D 33
#674B47 #6C5BB1 31
#674B47 #2D9E59 31
#674B47 #F24574 36
#674B47 #8C9099 52
#674B47 #F97429 38
#674B47 #5EBDDB 64
#674B47 #C19E86 40
#674B47 #AFC33C 43
#674B47 #94B7C9 50
#674B47 #F4C032 44
#674B47 #FFC0CB 54
#674B47 #D9DFE5 110
#674B47 #F8F81C 63
#674B47 #FFF5E0 60
#674B47 #E2DEDB 132
#6F4C2F #080A0D 26
#6F4C2F #003776 27
#6F4C2F #674B47 23
#6F4C2F #E72F1D 27
#6F4C2F #6C5BB1 31
#6F4C2F #2D9E59 25
#6F4C2F #F24574 24
#6F4C2F #8C9099 53
#6F4C2F #F97429 27
#6F4C2F #5EBDDB 42
#6F4C2F #C19E86 38
#6F4C2F #AFC33C 38
#6F4C2F #94B7C9 55
#6F4C2F #F4C032 35
#6F4C2F #FFC0CB 36
#6F4C2F #D9DFE5 130
#6F4C2F #F8F81C 59
#6F4C2F #FFF5E0 58
#6F4C2F #E2DEDB 212
#E72F1D #080A0D 74
#E72F1D #003776 63
#E72F1D #674B47 95
#E72F1D #6F4C2F 90
#E72F1D #6C5BB1 70
#E72F1D #2D9E59 64
#E72F1D #F24574 60
#E72F1D #8C9099 152
#E72F1D #F97429 80
#E72F1D #5EBDDB 79
#E72F1D #C19E86 150
#E72F1D #AFC33C 96
#E72F1D #94B7C9 148
#E72F1D #F4C032 124
#E72F1D #FFC0CB 123
#E72F1D #D9DFE5 296
#E72F1D #F8F81C 162
#E72F1D #FFF5E0 165
#E72F1D #E2DEDB 321
#6C5BB1 #080A0D 31
#6C5BB1 #003776 33
#6C5BB1 #674B47 31
#6C5BB1 #6F4C2F 27
#6C5BB1 #E72F1D 34
#6C5BB1 #2D9E59 31
#6C5BB1 #F24574 39
#6C5BB1 #8C9099 35
#6C5BB1 #F97429 30
#6C5BB1 #5EBDDB 40
#6C5BB1 #C19E86 52
#6C5BB1 #AFC33C 27
#6C5BB1 #94B7C9 41
#6C5BB1 #F4C032 30
#6C5BB1 #FFC0CB 39
#6C5BB1 #D9DFE5 152
#6C5BB1 #F8F81C 31
#6C5BB1 #FFF5E0 51
#6C5BB1 #E2DEDB 107
#2D9E59 #080A0D 59
#2D9E59 #003776 26
#2D9E59 #674B47 31
#2D9E59 #6F4C2F 32
#2D9E59 #E72F1D 37
#2D9E59 #6C5BB1 30
#2D9E59 #F24574 40
#2D9E59 #8C9099 52
#2D9E59 #F97429 30
#2D9E59 #5EBDDB 39
#2D9E59 #C19E86 69
#2D9E59 #AFC33C 34
#2D9E59 #94B7C9 44
#2D9E59 #F4C032 80
#2D9E59 #FFC0CB 61
#2D9E59 #D9DFE5 109
#2D9E59 #F8F81C 72
#2D9E59 #FFF5E0 70
#2D9E59 #E2DEDB 118
#F24574 #080A0D 23
#F24574 #003776 23
#F24574 #674B47 35
#F24574 #6F4C2F 39
#F24574 #E72F1D 23
#F24574 #6C5BB1 37
#F24574 #2D9E59 36
#F24574 #8C9099 98
#F24574 #F97429 31
#F24574 #5EBDDB 69
#F24574 #C19E86 78
#F24574 #AFC33C 75
#F24574 #94B7C9 52
#F24574 #F4C032 42
#F24574 #FFC0CB 31
#F24574 #D9DFE5 102
#F24574 #F8F81C 100
#F24574 #FFF5E0 101
#F24574 #E2DEDB 119
#8C9099 #080A0D 31
